Parent,Relation,Child
https://cso.kmi.open.ac.uk/topics/aodv,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Ad_hoc_On-Demand_Distance_Vector_Routing
https://cso.kmi.open.ac.uk/topics/aodv_protocols,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Ad_hoc_On-Demand_Distance_Vector_Routing
https://cso.kmi.open.ac.uk/topics/aodv_routing_protocol,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Ad_hoc_On-Demand_Distance_Vector_Routing
https://cso.kmi.open.ac.uk/topics/apparent_diffusion_coefficient,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Mass_diffusivity
https://cso.kmi.open.ac.uk/topics/applied_mathematics,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Applied_mathematics
https://cso.kmi.open.ac.uk/topics/approximate_dynamic_programming,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Reinforcement_learning
https://cso.kmi.open.ac.uk/topics/approximation_algorithm,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Approximation_algorithm
https://cso.kmi.open.ac.uk/topics/approximation_algorithms,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Approximation_algorithm
https://cso.kmi.open.ac.uk/topics/approximation_error,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Approximation_error
https://cso.kmi.open.ac.uk/topics/approximation_ratio,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Approximation_algorithm
https://cso.kmi.open.ac.uk/topics/approximation_theory,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Approximation_theory
https://cso.kmi.open.ac.uk/topics/architectural_acoustics,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Architectural_acoustics
https://cso.kmi.open.ac.uk/topics/architectural_knowledge_management,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Knowledge_management
https://cso.kmi.open.ac.uk/topics/architectural_knowledge_sharing,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Knowledge_sharing
https://cso.kmi.open.ac.uk/topics/architectural_model,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Architectural_model
https://cso.kmi.open.ac.uk/topics/architectural_pattern,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Architectural_pattern
https://cso.kmi.open.ac.uk/topics/architectural_patterns,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Architectural_pattern
https://cso.kmi.open.ac.uk/topics/architectural_style,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Architectural_style
https://cso.kmi.open.ac.uk/topics/architectural_technical_debt,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Technical_debt
