Original URL,Link Type,Link Subtype,Links
https://cso.kmi.open.ac.uk/topics/floating-point_arithmetic,other,same as,http://www.wikidata.org/entity/Q117879
https://cso.kmi.open.ac.uk/topics/floating-point_arithmetic,other,same as,http://rdf.freebase.com/ns/m.030r7
https://cso.kmi.open.ac.uk/topics/floating-point_arithmetic,other,same as,http://yago-knowledge.org/resource/Floating_point
https://cso.kmi.open.ac.uk/topics/floating-point_arithmetic,wikipedia,related link,http://en.wikipedia.org/wiki/Floating_point
https://cso.kmi.open.ac.uk/topics/rate_control,other,related link,https://academic.microsoft.com/#/detail/2776164328
https://cso.kmi.open.ac.uk/topics/metal_gate,other,related link,https://academic.microsoft.com/#/detail/51140833
https://cso.kmi.open.ac.uk/topics/uml_profiles,dbpedia,same as,http://dbpedia.org/resource/Profile_(UML)
https://cso.kmi.open.ac.uk/topics/uml_profiles,other,same as,http://www.wikidata.org/entity/Q1421951
https://cso.kmi.open.ac.uk/topics/uml_profiles,other,same as,http://rdf.freebase.com/ns/m.026d2bb
https://cso.kmi.open.ac.uk/topics/uml_profiles,other,same as,http://yago-knowledge.org/resource/Profile_(UML)
https://cso.kmi.open.ac.uk/topics/uml_profiles,wikipedia,related link,http://en.wikipedia.org/wiki/Profile_(UML)
https://cso.kmi.open.ac.uk/topics/economic_development,other,related link,https://academic.microsoft.com/#/detail/2778199310
https://cso.kmi.open.ac.uk/topics/3d_printers,dbpedia,same as,http://dbpedia.org/resource/3D_printing
https://cso.kmi.open.ac.uk/topics/3d_printers,other,same as,http://www.wikidata.org/entity/Q229367
https://cso.kmi.open.ac.uk/topics/3d_printers,other,same as,http://rdf.freebase.com/ns/m.04rk8g
https://cso.kmi.open.ac.uk/topics/3d_printers,other,same as,http://yago-knowledge.org/resource/3D_printing
https://cso.kmi.open.ac.uk/topics/3d_printers,wikipedia,related link,http://en.wikipedia.org/wiki/3D_printing
https://cso.kmi.open.ac.uk/topics/feature_function,dbpedia,same as,http://dbpedia.org/resource/Subroutine
https://cso.kmi.open.ac.uk/topics/feature_function,other,same as,http://www.wikidata.org/entity/Q190686
https://cso.kmi.open.ac.uk/topics/feature_function,other,same as,http://rdf.freebase.com/ns/m.0b750
https://cso.kmi.open.ac.uk/topics/feature_function,wikipedia,related link,http://en.wikipedia.org/wiki/Subroutine
https://cso.kmi.open.ac.uk/topics/level_set_approach,dbpedia,same as,http://dbpedia.org/resource/Level_set
https://cso.kmi.open.ac.uk/topics/level_set_approach,other,same as,http://www.wikidata.org/entity/Q126955
https://cso.kmi.open.ac.uk/topics/level_set_approach,other,same as,http://rdf.freebase.com/ns/m.02p__1
https://cso.kmi.open.ac.uk/topics/level_set_approach,other,same as,http://yago-knowledge.org/resource/Level_set
https://cso.kmi.open.ac.uk/topics/level_set_approach,wikipedia,related link,http://en.wikipedia.org/wiki/Level_set
