Parent URL,Type,Tool URL,German Parent URL,German Tool URL
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/Altium_Designer,http://de.dbpedia.org/resource/Computer-aided_manufacturing,http://de.dbpedia.org/resource/Altium_Designer
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/EAGLE_(program),http://de.dbpedia.org/resource/Computer-aided_manufacturing,http://de.dbpedia.org/resource/Eagle_(Software)
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/PTC_Creo_Elements/Pro,http://de.dbpedia.org/resource/Computer-aided_manufacturing,http://de.dbpedia.org/resource/Creo_Elements/Direct_Modeling
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/SprutCAM,http://de.dbpedia.org/resource/Computer-aided_manufacturing,
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/Open_Cascade_Technology,http://de.dbpedia.org/resource/Computer-aided_manufacturing,http://de.dbpedia.org/resource/Open_CASCADE_Technology
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/NCSIMUL,http://de.dbpedia.org/resource/Computer-aided_manufacturing,
http://dbpedia.org/resource/Metadata,Tool,http://dbpedia.org/resource/Nirvana_(software),http://de.dbpedia.org/resource/Metadaten,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/TomP2P,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/Freenet,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/GiFT,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,http://de.dbpedia.org/resource/GiFT
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/Gizmo5,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,http://de.dbpedia.org/resource/Gizmo5
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/Morpheus_(software),http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,http://de.dbpedia.org/resource/Morpheus_(Filesharing-Client)
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/Wengo,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/AnoNet,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/LogMeIn_Hamachi,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,http://de.dbpedia.org/resource/LogMeIn_Hamachi
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/MLDonkey,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,http://de.dbpedia.org/resource/MLDonkey
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/Tapestry_(DHT),http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/DC++,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,http://de.dbpedia.org/resource/DC++
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/EDonkey2000,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,http://de.dbpedia.org/resource/Kategorie:EDonkey2000
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/PPS.tv,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/JMule,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/Kazaa,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,http://de.dbpedia.org/resource/Kazaa
