Parent URL,Type,Tool URL
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/LZFSE
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Zlib__zlib__1
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/XZ_Utils
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/PackIt
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Logic_Studio__Compressor__1
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Snappy_(compression)__Snappy__1
http://dbpedia.org/resource/Image_compression,Tool,http://dbpedia.org/resource/Pngcrush
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/ProtoShare
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/BigBlueButton
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/ERoom
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Nuclino
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Confluence_(software)
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Notion_(productivity_software)
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Coda_(document_editor)
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Coggle
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Google_Docs
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Google_Docs_Editors
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Google_Public_Data_Explorer
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Google_Sheets
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Google_Slides
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/LiquidPlanner
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/MDaemon
